A,B,C,D,E,F,G,H,I,J,K
83,96,100,0,100,0,92,16161,83,0,0
83,95,100,0,100,0,77,47773,83,0,0
82,96,100,0,100,0,97,7336,82,0,0
83,89,100,0,100,0,89,23207,83,0,0
81,91,100,0,100,0,97,6744,81,0,0
74,95,100,0,100,0,89,23324,74,0,0
83,95,100,0,100,0,93,14153,83,0,0
100,95,100,0,100,0,98,5686,100,0,0
73,89,100,0,100,0,9,182739,73,0,0
80,94,100,0,100,0,94,13724,80,0,0
82,95,100,0,100,0,78,45991,82,0,0
84,95,100,0,100,0,98,4371,84,0,0
82,95,100,0,100,0,97,6526,82,0,0
100,94,100,0,100,0,97,7841,100,0,0
83,98,100,0,100,0,98,4117,83,0,0
100,95,100,0,100,0,94,12327,100,0,0
82,95,100,0,100,0,1,397839,82,0,0
76,91,100,0,100,0,84,33091,76,0,0
82,99,100,0,100,0,98,5914,82,0,0
71,96,100,0,100,0,91,18002,71,0,0
79,87,100,0,100,0,98,4904,1,0,0
84,96,100,0,100,0,98,4490,84,0,0
75,98,100,0,100,0,97,6733,75,0,0
81,99,100,0,100,0,97,6565,1,0,0
80,99,100,0,100,0,97,7106,80,0,0
84,96,100,0,100,0,97,6749,1,0,0
75,94,100,0,100,0,96,8961,75,0,0
80,89,100,0,100,0,96,9825,80,0,0
82,88,100,0,100,0,76,48506,82,0,0
78,95,100,0,100,0,97,6734,78,0,0
81,89,100,0,100,0,94,13622,81,0,0
78,94,100,0,100,0,97,6097,78,0,0
77,88,100,0,100,0,86,28818,77,0,0
81,98,100,0,100,0,97,6337,81,0,0
80,95,100,0,100,0,95,11883,80,0,0
81,90,100,0,100,0,97,7670,1,0,0
81,96,100,0,100,0,96,8526,1,0,0
82,88,100,0,100,0,97,6255,1,0,0
83,96,100,0,100,0,97,6365,1,0,0
82,88,100,0,100,0,95,10376,1,0,0
82,90,100,0,100,0,98,5624,1,0,0
79,96,100,0,100,0,98,5531,79,0,0
80,98,100,0,100,0,88,24807,80,0,0
81,98,100,0,100,0,96,8791,81,0,0
82,96,100,0,100,0,97,7699,1,0,0
83,97,100,0,100,0,98,4797,1,0,0
80,93,100,0,100,0,94,13543,80,0,0
81,96,100,0,100,0,95,10446,81,0,0
82,92,100,0,100,0,93,14728,82,0,0
77,96,100,0,100,0,97,6213,77,0,0
83,98,100,0,100,0,12,176264,83,0,0
83,91,100,0,100,0,76,49513,83,0,0
84,94,100,0,100,0,95,10332,1,0,0
82,92,100,0,100,0,95,10810,82,0,0
83,91,100,0,100,0,96,9313,83,0,0
75,98,100,0,100,0,13,174410,75,0,0
78,96,100,0,100,0,94,12208,78,0,0
83,85,100,0,100,0,98,5474,1,0,0
83,89,100,0,100,0,98,5568,83,0,0
82,94,100,0,100,0,66,68669,82,0,0
73,86,100,0,100,0,89,23505,1,0,0
79,91,100,0,100,0,96,9882,79,0,0
82,89,100,0,100,0,86,28898,82,0,0
82,96,100,0,100,0,96,8553,82,0,0
69,89,100,0,100,0,97,6821,69,0,0
81,89,100,0,100,0,94,13940,81,0,0
72,89,100,0,100,0,95,11557,72,0,0
83,99,100,0,100,0,94,13140,83,0,0
82,95,100,0,100,0,98,4472,82,0,0
84,93,100,0,100,0,83,35871,84,0,0
81,95,100,0,100,0,97,7563,81,0,0
73,94,100,0,100,0,98,5375,73,0,0
74,96,100,0,100,0,94,13344,74,0,0
68,89,100,0,100,0,97,7403,68,0,0
83,96,100,0,100,0,95,11825,83,0,0
79,88,100,0,100,0,94,13566,79,0,0
82,95,100,0,100,0,99,3846,82,0,0
74,95,100,0,100,0,97,7305,74,0,0
80,91,100,0,100,0,96,9332,80,0,0
84,92,100,0,100,0,94,12697,84,0,0
83,91,100,0,100,0,90,20940,83,0,0
66,93,100,0,100,0,97,6720,66,0,0
84,89,100,0,100,0,97,6153,84,0,0
84,95,100,0,100,0,97,7099,84,0,0
77,95,100,0,100,0,95,10413,77,0,0
83,86,100,0,100,0,98,4045,1,0,0
81,89,100,0,100,0,95,11755,81,0,0
83,89,100,0,100,0,96,8776,83,0,0
68,91,100,0,100,0,77,47436,68,0,0
100,89,100,0,100,0,97,7578,100,0,0
81,96,100,0,100,0,95,11220,81,0,0
80,94,100,0,100,0,91,19872,80,0,0
83,99,100,0,100,0,100,404,83,0,0
78,94,100,0,100,0,92,16954,78,0,0
82,99,100,0,100,0,97,7746,82,0,0
83,96,100,0,100,0,63,75298,83,0,0
83,99,100,0,100,0,96,9699,83,0,0
83,89,100,0,100,0,97,6545,83,0,0
84,96,100,0,100,0,98,5791,84,0,0
82,94,100,0,100,0,95,10946,82,0,0
79,91,100,0,100,0,53,95815,79,0,0
83,95,100,0,100,0,97,6856,83,0,0
70,96,100,0,100,0,94,12669,1,0,0
82,92,100,0,100,0,92,17888,82,0,0
80,95,100,0,100,0,95,10252,80,0,0
76,92,100,0,100,0,97,7473,76,0,0
82,96,100,0,100,0,96,8685,82,0,0
83,89,100,0,100,0,93,14054,83,0,0
81,92,100,0,100,0,95,11591,81,0,0
82,98,100,0,100,0,97,6321,82,0,0
76,92,100,0,100,0,94,12702,76,0,0
83,92,100,0,100,0,85,30029,83,0,0
70,99,100,0,100,0,87,27524,70,0,0
80,98,100,0,100,0,98,5883,80,0,0
82,95,100,0,100,0,98,5949,82,0,0
81,92,100,0,100,0,99,3323,81,0,0
78,89,100,0,100,0,97,6739,78,0,0
80,95,100,0,100,0,95,11700,80,0,0
81,93,100,0,100,0,93,14847,1,0,0
74,86,100,0,100,0,97,6555,1,0,0
80,98,100,0,100,0,96,8727,1,0,0
82,96,100,0,100,0,94,12713,1,0,0
82,88,100,0,100,0,97,7989,1,0,0
78,84,100,0,100,0,95,11271,1,0,0
81,96,100,0,100,0,88,24402,1,0,0
78,98,100,0,100,0,98,5968,78,0,0
82,96,100,0,100,0,93,15798,82,0,0
83,90,100,0,100,0,90,20283,1,0,0
83,93,100,0,100,0,1,324281,83,0,0
79,94,100,0,100,0,91,18015,79,0,0
80,92,100,0,100,0,94,13433,1,0,0
81,91,100,0,100,0,96,8638,81,0,0
81,95,100,0,100,0,97,7055,1,0,0
81,95,100,0,100,0,96,8253,81,0,0
83,96,100,0,100,0,96,9466,83,0,0
77,95,100,0,100,0,98,5211,77,0,0
82,96,100,0,100,0,96,8700,82,0,0
77,94,100,0,100,0,94,12312,77,0,0
82,98,100,0,100,0,96,9070,82,0,0
78,99,100,0,100,0,97,6575,78,0,0
83,99,100,0,100,0,96,9447,83,0,0
83,94,100,0,100,0,96,9094,83,0,0
84,99,100,0,100,0,89,23232,84,0,0
69,92,100,0,100,0,95,10565,69,0,0
74,98,100,0,100,0,96,9389,74,0,0
83,95,100,0,100,0,91,19891,83,0,0
84,96,100,0,100,0,97,6747,84,0,0
84,94,100,0,100,0,98,5936,84,0,0
81,89,100,0,100,0,96,9044,81,0,0
82,95,100,0,100,0,96,9058,82,0,0
79,94,100,0,100,0,98,5534,79,0,0
80,96,100,0,100,0,92,16985,80,0,0
82,89,100,0,100,0,95,11488,82,0,0
81,89,100,0,100,0,92,17940,81,0,0
80,96,100,0,100,0,92,17313,80,0,0
78,96,100,0,100,0,95,11986,78,0,0
81,94,100,0,100,0,48,105246,81,0,0
76,95,100,0,100,0,96,9818,76,0,0
82,95,100,0,100,0,97,7510,82,0,0
81,92,100,0,100,0,95,10772,81,0,0
79,89,100,0,100,0,98,5955,79,0,0
81,89,100,0,100,0,96,8201,81,0,0
81,86,100,0,100,0,97,7265,1,0,0
77,95,100,0,100,0,96,9897,77,0,0
76,89,100,0,100,0,94,12534,76,0,0
77,94,100,0,100,0,93,15839,77,0,0
80,89,100,0,100,0,94,13816,80,0,0
81,89,100,0,100,0,94,13354,81,0,0
82,95,100,0,100,0,94,13860,82,0,0
79,95,100,0,100,0,91,18100,79,0,0
81,84,100,0,100,0,96,8622,1,0,0
81,96,100,0,100,0,98,4774,1,0,0
78,89,100,0,100,0,99,3179,78,0,0
77,96,100,0,100,0,91,19740,1,0,0
83,90,100,0,100,0,97,6468,1,0,0
77,91,100,0,100,0,94,12554,77,0,0
80,96,100,0,100,0,94,12363,1,0,0
82,95,100,0,100,0,90,21866,82,0,0
82,96,100,0,100,0,96,9995,1,0,0
83,88,100,0,100,0,96,9031,1,0,0
72,96,100,0,100,0,97,7160,1,0,0
82,96,100,0,100,0,93,14741,1,0,0
77,90,100,0,100,0,96,9137,1,0,0
70,96,100,0,100,0,96,8560,70,0,0
84,90,100,0,100,0,96,9743,84,0,0
80,98,100,0,100,0,97,7647,80,0,0
82,90,100,0,100,0,90,20985,1,0,0
82,95,100,0,100,0,93,15086,82,0,0
83,94,100,0,100,0,91,19514,83,0,0
69,95,100,0,100,0,98,5726,69,0,0
82,89,100,0,100,0,93,14957,82,0,0
79,96,100,0,100,0,97,7960,1,0,0
78,92,100,0,100,0,94,13344,78,0,0
82,93,100,0,100,0,94,12930,1,0,0
78,90,100,0,100,0,95,10707,1,0,0
84,96,100,0,100,0,98,5112,84,0,0
83,95,100,0,100,0,97,7597,83,0,0
83,94,100,0,100,0,95,10636,83,0,0
82,94,100,0,100,0,92,16399,82,0,0
83,91,100,0,100,0,96,9941,83,0,0
83,89,100,0,100,0,93,15691,83,0,0
83,89,100,0,100,0,96,8449,83,0,0
81,94,100,0,100,0,97,7052,81,0,0
81,89,100,0,100,0,82,37943,81,0,0
78,89,100,0,100,0,94,12745,78,0,0
74,89,100,0,100,0,88,24181,74,0,0
81,84,100,0,100,0,97,6890,1,0,0
81,95,100,0,100,0,97,7441,81,0,0
81,85,100,0,100,0,96,9032,1,0,0
81,88,100,0,100,0,94,13833,1,0,0
83,90,100,0,100,0,94,12829,1,0,0
83,94,100,0,100,0,97,6529,83,0,0
79,95,100,0,100,0,96,8872,79,0,0
83,95,100,0,100,0,48,104773,83,0,0
100,99,100,0,100,0,92,17652,100,0,0
83,95,100,0,100,0,81,39384,83,0,0
81,92,100,0,100,0,96,9988,81,0,0
81,94,100,0,100,0,97,6581,1,0,0
70,89,100,0,100,0,83,34864,70,0,0
75,94,100,0,100,0,98,5777,1,0,0
83,91,100,0,100,0,86,29024,83,0,0
81,95,100,0,100,0,97,7364,81,0,0
83,88,100,0,100,0,97,6910,1,0,0
79,91,100,0,100,0,97,7974,1,0,0
81,96,100,0,100,0,94,13047,81,0,0
83,96,100,0,100,0,98,5282,83,0,0
81,88,100,0,100,0,89,22007,1,0,0
84,96,100,0,100,0,98,5799,84,0,0
79,95,100,0,100,0,96,9802,79,0,0
84,96,100,0,100,0,97,6330,84,0,0
81,94,100,0,100,0,98,5439,81,0,0
80,96,100,0,100,0,94,12111,1,0,0
78,94,100,0,100,0,94,13348,78,0,0
83,92,100,0,100,0,95,11986,1,0,0
82,88,100,0,100,0,98,5840,1,0,0
70,94,100,0,100,0,96,9538,70,0,0
82,85,100,0,100,0,99,3392,1,0,0
82,89,100,0,100,0,86,29269,1,0,0
74,88,100,0,100,0,97,6361,1,0,0
100,92,100,0,100,0,56,88988,100,0,0
84,96,100,0,100,0,93,15337,84,0,0
82,91,100,0,100,0,96,8281,82,0,0
80,85,100,0,100,0,99,3273,1,0,0
80,88,100,0,100,0,92,16456,1,0,0
84,92,100,0,100,0,95,10524,84,0,0
84,84,100,0,100,0,98,4698,1,0,0
79,88,100,0,100,0,98,4327,1,0,0
84,84,100,0,100,0,95,10262,1,0,0
78,98,100,0,100,0,98,4785,78,0,0
84,94,100,0,100,0,97,6992,84,0,0
81,96,100,0,97,3,96,8695,81,8,8
80,92,100,0,100,0,97,6092,80,0,0
83,98,100,0,100,0,73,55827,83,0,0
100,92,100,0,100,0,57,86684,100,0,0
79,95,100,0,100,0,92,17974,79,0,0
82,96,100,0,100,0,92,16210,82,0,0
82,98,100,0,100,0,98,4837,82,0,0
66,96,100,0,100,0,87,27499,66,0,0
81,98,100,0,100,0,88,24002,81,0,0
78,92,100,0,100,0,98,5485,78,0,0
73,95,100,0,100,0,42,116606,73,0,0
82,92,100,0,100,0,41,118574,82,0,0
77,95,100,0,100,0,96,8034,77,0,0
72,98,100,0,100,0,97,7242,72,0,0
76,95,100,0,100,0,98,5816,76,0,0
76,98,100,0,100,0,93,14801,76,0,0
81,98,100,0,100,0,97,7660,81,0,0
81,95,100,0,100,0,95,10553,81,0,0
79,94,100,0,100,0,86,29360,79,0,0
82,92,100,0,100,0,95,10698,82,0,0
81,94,100,0,100,0,96,8078,81,0,0
83,94,100,0,100,0,96,9344,83,0,0
78,94,100,0,100,0,95,11249,78,0,0
79,98,100,0,100,0,92,17842,79,0,0
83,94,100,0,100,0,91,18748,83,0,0
83,90,100,0,100,0,98,5899,83,0,0
80,89,100,0,100,0,92,17506,80,0,0
75,92,100,8,100,0,97,6081,75,0,0
79,92,100,0,100,0,97,7042,79,0,0
75,95,100,0,100,0,96,8673,75,0,0
83,94,100,0,100,0,94,13477,83,0,0
83,93,100,0,100,0,96,9011,1,0,0
82,96,100,0,100,0,89,22320,82,0,0
69,88,100,0,100,0,97,7274,1,0,0
82,95,100,0,100,0,89,23706,82,0,0
71,96,100,0,100,0,95,10796,71,0,0
79,98,100,0,100,0,78,44873,79,0,0
79,98,100,0,100,0,95,11701,79,0,0
80,98,100,0,100,0,98,5833,80,0,0
70,98,100,0,100,0,92,17033,70,0,0
73,96,100,0,100,0,93,14124,73,0,0
81,96,100,0,100,0,47,107209,81,0,0
84,98,100,0,100,0,97,7622,84,0,0
78,91,100,0,100,0,1,215438,78,0,0
80,95,100,0,100,0,89,22270,80,0,0
77,92,100,0,100,0,93,14147,77,0,0
79,94,100,0,100,0,95,11647,79,0,0
83,96,100,0,100,0,96,9380,83,0,0
82,96,100,0,100,0,95,10597,82,0,0
81,95,100,0,100,0,99,3369,81,0,0
74,96,100,0,100,0,84,32200,74,0,0
78,89,100,0,100,0,96,8250,78,0,0
80,96,100,0,100,0,92,16632,80,0,0
80,94,100,0,100,0,97,6040,80,0,0
78,89,100,0,100,0,95,10145,78,0,0
82,96,100,0,100,0,26,149411,82,0,0
77,89,100,0,100,0,98,5722,77,0,0
84,95,100,0,100,0,93,14831,84,0,0
83,96,100,0,100,0,95,10309,83,0,0
82,94,100,0,100,0,97,7474,82,0,0
81,96,100,0,100,0,97,7438,81,0,0
82,98,100,0,100,0,97,7647,82,0,0
82,98,100,0,100,0,97,6043,82,0,0
84,99,100,0,100,0,95,11622,84,0,0
84,95,100,0,100,0,95,10777,84,0,0
83,89,100,0,100,0,25,150644,83,0,0
81,95,100,0,100,0,97,6904,81,0,0
83,95,100,0,100,0,98,5156,83,0,0
81,95,100,0,100,0,92,17819,81,0,0
79,95,100,0,100,0,91,18334,79,0,0
81,96,100,0,100,0,88,25188,81,0,0
77,95,100,0,100,0,83,34795,77,0,0
72,94,100,0,100,0,95,10677,72,0,0
82,91,100,0,100,0,94,12883,82,0,0
81,91,100,0,100,0,94,13635,81,0,0
76,98,100,0,100,0,96,8691,76,0,0
82,94,100,0,100,0,97,6764,82,0,0
76,89,100,0,100,0,97,7087,76,0,0
82,96,100,0,100,0,43,115663,82,0,0
81,86,100,0,100,0,96,8764,1,0,0
78,96,100,0,100,0,99,3454,78,0,0
82,90,100,0,100,0,51,99543,82,0,0
80,90,100,0,100,0,93,15211,1,0,0
81,95,100,0,100,0,89,22234,81,0,0
84,95,100,0,100,0,92,17915,84,0,0
82,95,100,0,100,0,95,11209,82,0,0
70,96,100,0,100,0,90,21148,70,0,0
78,92,100,0,100,0,84,32394,78,0,0
80,95,100,0,100,0,1,319504,80,0,0
83,92,100,0,100,0,80,40913,83,0,0
70,96,100,0,100,0,66,68050,70,0,0
79,89,100,0,100,0,16,168573,79,0,0
81,94,100,0,100,0,6,189550,81,0,0
84,94,100,0,100,0,45,110432,84,0,0
82,94,100,0,100,0,92,16147,82,0,0
83,98,100,0,100,0,94,13683,83,0,0
100,95,100,0,100,0,97,7053,100,0,0
80,88,100,0,100,0,96,8537,1,0,0
76,98,100,0,100,0,96,9332,76,0,0
81,95,100,0,100,0,94,12324,81,0,0
81,92,100,0,100,0,96,8646,81,0,0
82,93,100,0,100,0,81,38428,1,0,0
82,93,100,0,100,0,97,6705,82,0,0
79,94,100,0,100,0,97,6207,79,0,0
80,98,100,0,100,0,98,5023,80,0,0
67,95,100,0,100,0,93,14050,67,0,0
74,92,100,0,100,0,94,12757,74,0,0
80,95,100,0,100,0,81,38602,80,0,0
81,89,100,0,100,0,96,9836,81,0,0
78,95,100,0,100,0,84,33777,78,0,0
83,98,100,0,100,0,98,5113,83,0,0
84,89,100,0,100,0,89,23181,84,0,0
78,98,100,0,100,0,96,9871,78,0,0
82,92,100,0,100,0,97,7733,82,0,0
81,96,100,0,100,0,97,6117,81,0,0
83,95,100,0,100,0,87,26756,83,0,0
83,94,100,0,100,0,66,69823,83,0,0
83,96,100,0,100,0,97,6462,83,0,0
81,95,100,0,100,0,90,21448,81,0,0
75,94,100,0,100,0,95,10319,75,0,0
80,91,100,0,100,0,96,9798,80,0,0
81,99,100,0,100,0,99,3503,81,0,0
80,96,100,0,100,0,97,7186,1,0,0
84,92,100,0,100,0,88,25260,1,0,0
78,94,100,0,100,0,97,6331,78,0,0
76,92,100,0,100,0,94,13855,76,0,0
84,94,100,0,100,0,97,6329,84,0,0
83,99,100,0,100,0,96,8411,83,0,0
83,91,100,0,100,0,93,14655,83,0,0
80,94,100,0,100,0,97,7349,80,0,0
82,96,100,0,100,0,97,6333,82,0,0
83,89,100,0,100,0,95,10045,83,0,0
83,96,100,0,100,0,99,2903,83,0,0
80,94,100,0,100,0,96,8019,80,0,0
82,96,100,0,100,0,98,4978,82,0,0
83,96,100,0,100,0,98,5600,83,0,0
80,96,100,0,100,0,97,6771,80,0,0
82,96,100,0,100,0,95,11325,1,0,0
82,96,100,0,100,0,90,20274,1,0,0
81,88,100,0,100,0,97,7942,1,0,0
81,96,100,0,100,0,93,15723,1,0,0
82,96,100,0,100,0,97,7900,1,0,0
83,96,100,0,100,0,95,10999,1,0,0
81,96,100,0,100,0,92,17349,1,0,0
83,98,100,0,100,0,96,9217,1,0,0
78,96,100,0,100,0,96,9558,1,0,0
83,86,100,0,100,0,98,4862,1,0,0
80,89,100,0,100,0,98,4054,80,0,0
75,95,100,0,100,0,92,16674,75,0,0
75,92,100,0,100,0,98,5777,75,0,0
70,96,100,0,100,0,97,6643,70,0,0
80,89,100,0,100,0,99,3671,80,0,0
80,92,100,0,100,0,97,6729,80,0,0
81,96,100,0,100,0,91,18870,81,0,0
84,92,100,0,100,0,95,10465,84,0,0
74,94,100,0,100,0,97,6106,74,0,0
83,96,100,0,100,0,97,7737,83,0,0
73,98,100,0,100,0,95,11036,73,0,0
75,94,100,0,100,0,94,12170,75,0,0
83,95,100,0,100,0,94,13304,83,0,0
82,96,100,0,100,0,94,13082,82,0,0
76,89,100,0,100,0,96,8407,76,0,0
81,96,100,0,100,0,97,7672,81,0,0
73,89,100,0,100,0,95,10372,73,0,0
79,95,100,0,100,0,85,31047,79,0,0
82,96,100,0,100,0,98,5518,82,0,0
84,94,100,0,100,0,94,13282,84,0,0
84,98,100,0,100,0,71,59711,84,0,0
84,98,100,0,100,0,96,9540,84,0,0
83,96,100,0,100,0,93,14534,83,0,0
82,95,100,0,100,0,96,8563,82,0,0
76,98,100,0,100,0,95,11549,76,0,0
80,89,100,0,100,0,96,8216,80,0,0
79,95,100,0,100,0,97,7720,79,0,0
79,89,100,0,100,0,96,9473,79,0,0
81,89,100,0,100,0,97,6103,81,0,0
81,96,100,0,100,0,96,8935,1,0,0
83,84,100,0,100,0,96,9109,1,0,0
80,89,100,0,100,0,86,28899,80,0,0
81,93,100,0,100,0,94,13195,81,0,0
81,89,100,0,100,0,95,11312,81,0,0
82,94,100,0,100,0,93,14959,82,0,0
68,96,100,0,100,0,89,23356,68,0,0
83,90,100,0,100,0,96,9220,1,0,0
82,90,100,0,100,0,95,11183,82,0,0
83,95,100,0,100,0,95,10298,83,0,0
82,93,100,0,100,0,93,15832,82,0,0
83,93,100,0,100,0,91,18632,83,0,0
73,93,100,0,100,0,96,9152,73,0,0
79,96,100,0,100,0,96,8524,79,0,0
84,96,100,0,100,0,97,7728,84,0,0
78,94,100,0,100,0,95,11620,78,0,0
83,98,100,8,100,0,98,5714,83,0,0
83,94,100,0,100,0,94,13932,83,0,0
84,96,100,0,100,0,95,10106,84,0,0
83,95,100,0,100,0,87,27925,83,0,0
83,95,100,0,100,0,84,32636,83,0,0
82,84,100,0,100,0,95,10153,1,0,0
83,91,100,8,100,0,78,45809,83,0,0
78,95,100,0,100,0,92,17551,78,0,0
78,95,100,0,100,0,97,6105,78,0,0
74,92,100,0,100,0,98,4858,74,0,0
78,95,100,0,100,0,92,16100,78,0,0
72,98,100,0,100,0,94,13125,72,0,0
80,96,100,0,100,0,98,4309,80,0,0
82,91,100,0,100,0,96,9553,82,0,0
81,94,100,0,100,0,87,26089,81,0,0
77,87,100,0,100,0,89,23529,1,0,0
82,94,100,0,100,0,90,20227,82,0,0
80,96,100,0,100,0,91,18127,80,0,0
79,98,100,0,100,0,74,52348,79,0,0
79,95,100,0,100,0,85,30996,79,0,0
72,92,100,0,100,0,96,9852,72,0,0
77,90,100,0,100,0,96,8637,1,0,0
82,99,100,0,100,0,99,2182,82,0,0
83,94,100,0,100,0,72,56039,83,0,0
79,94,100,0,100,0,95,10862,79,0,0
82,92,100,0,100,0,95,10695,82,0,0
83,96,100,0,100,0,95,11819,1,0,0
79,98,100,0,100,0,87,26472,79,0,0
83,95,100,0,100,0,95,11036,83,0,0
80,92,100,0,100,0,98,4010,80,0,0
84,98,100,0,100,0,88,24861,84,0,0
80,89,100,0,100,0,98,5964,80,0,0
80,96,100,0,100,0,93,14855,80,0,0
80,98,100,0,100,0,87,27633,80,0,0
77,96,100,0,100,0,98,5922,77,0,0
78,91,100,0,100,0,98,5990,78,0,0
71,95,100,0,100,0,94,13089,71,0,0
83,96,100,0,100,0,93,15064,83,0,0
78,97,100,0,100,0,96,8273,1,0,0
83,98,100,0,100,0,98,4047,83,0,0
77,94,100,0,100,0,96,8461,77,0,0
84,91,100,0,100,0,94,13419,84,0,0
79,89,100,0,100,0,77,46291,79,0,0
81,89,100,0,100,0,98,4203,81,0,0
100,89,100,0,100,0,97,7667,100,0,0
83,94,100,0,100,0,93,14894,83,0,0
82,89,100,0,100,0,98,5660,82,0,0
83,95,100,0,100,0,95,10411,83,0,0
82,89,100,0,100,0,80,40748,82,0,0
83,92,100,0,100,0,98,5963,83,0,0
81,89,100,0,100,0,98,4202,81,0,0
84,94,100,0,100,0,97,6593,84,0,0
83,89,100,0,100,0,97,6954,83,0,0
75,95,100,0,100,0,96,8434,75,0,0
79,91,100,0,100,0,90,21641,79,0,0
69,98,100,0,100,0,93,15301,69,0,0
82,99,100,0,100,0,94,13578,82,0,0
79,89,100,0,100,0,94,12532,79,0,0
79,95,100,0,100,0,96,8393,79,0,0
81,98,100,0,100,0,93,14187,81,0,0
73,99,100,0,100,0,88,24757,73,0,0
75,95,100,0,100,0,78,44444,75,0,0
81,94,100,0,100,0,96,9415,81,0,0
70,96,100,0,100,0,97,6974,1,0,0
81,95,100,0,100,0,97,6987,81,0,0
80,95,100,0,100,0,99,3686,80,0,0
79,91,100,0,100,0,93,15449,79,0,0
80,96,100,0,100,0,92,17497,80,0,0
83,94,100,0,100,0,95,10015,83,0,0
79,90,100,0,100,0,80,40667,79,0,0
100,92,100,0,100,0,89,22155,100,0,0
79,92,100,0,100,0,84,33920,79,0,0
78,91,100,0,100,0,89,23631,78,0,0
84,96,100,0,100,0,97,7329,84,0,0
83,92,100,0,100,0,97,7947,83,0,0
74,98,100,0,100,0,95,11966,74,0,0
83,96,100,0,100,0,89,22566,83,0,0
69,96,100,0,100,0,95,10656,69,0,0
82,95,100,0,100,0,94,12947,82,0,0
82,96,100,0,100,0,97,6617,82,0,0
84,98,100,0,100,0,91,19719,84,0,0
81,86,100,0,100,0,97,7297,1,0,0
82,95,100,0,100,0,95,10464,82,0,0
80,93,100,0,100,0,93,14413,80,0,0
